Stock,vol_norm_mean,del_norm_mean,trd_norm_mean,max_dQty,2time_20day,3time_20day,2time_3day
20MICRONS,262196.0,119644.0,3793.0,202974.0,0,0,0
21STCENMGM,2686.0,3421.0,46.0,55024.0,0,0,0
3IINFOLTD,695402.0,430786.0,6339.0,1287512.0,0,0,0
3MINDIA,2978.0,1626.0,1561.0,7274.0,0,0,0
3PLAND,7264.0,7264.0,82.0,12808.0,0,0,0
5PAISA,23402.0,13992.0,1051.0,32582.0,0,0,0
63MOONS,57700.0,57700.0,768.0,184932.0,0,0,0
A2ZINFRA,777085.0,434000.0,1102.0,813631.0,0,0,0
AAATECH,10375.0,8142.0,2.0,108000.0,0,0,0
AAKASH,106371.0,34509.0,833.0,1175257.0,0,0,0
AAREYDRUGS,103991.0,58947.0,1453.0,124027.0,0,0,0
AARON,3990.0,2324.0,152.0,7283.0,0,0,0
AARTIDRUGS,125059.0,61178.0,7410.0,138243.0,0,0,0
AARTIIND,647657.0,227666.0,26780.0,764183.0,0,0,0
AARTISURF,8349.0,4882.0,1023.0,76294.0,0,0,0
AARVEEDEN,26564.0,16868.0,282.0,38175.0,0,0,0
AARVI,21407.0,14439.0,274.0,42384.0,0,0,0
AAVAS,92803.0,81401.0,16124.0,237607.0,0,0,0
ABAN,105867.0,58921.0,1585.0,469234.0,0,0,0
ABB,268615.0,130450.0,26093.0,399229.0,0,0,0
ABBOTINDIA,28274.0,12533.0,8807.0,23923.0,0,0,0
ABCAPITAL,4333437.0,1321341.0,24857.0,2808851.0,0,0,0
ABCOTS,72480.0,50307.0,16.0,112000.0,0,0,0
ABFRL,2817134.0,815400.0,30575.0,2952888.0,0,0,0
ABMINTLLTD,2214.0,1234.0,112.0,6016.0,0,0,0
ABSLAMC,299768.0,187261.0,12277.0,486966.0,0,0,0
ABSLBANETF,5886.0,4817.0,153.0,21537.0,0,0,0
ABSLNN50ET,5007.0,4014.0,110.0,25824.0,0,0,0
ACC,323582.0,114959.0,21571.0,364410.0,0,0,0
ACCELYA,14635.0,8214.0,2453.0,45693.0,0,0,0
ACCURACY,28160.0,15329.0,670.0,104306.0,0,0,0
ACE,277426.0,105986.0,7313.0,427042.0,0,0,0
ACRYSIL,65861.0,34577.0,5482.0,85783.0,0,0,0
ADANIENT,1488463.0,310519.0,38593.0,617885.0,0,0,0
ADANIGREEN,484115.0,192874.0,33749.0,1035830.0,0,0,0
ADANIPORTS,4778694.0,1149780.0,79249.0,4096611.0,0,0,0
ADANIPOWER,6903084.0,2321898.0,43462.0,26577924.0,0,0,0
ADANITRANS,167774.0,152277.0,5870.0,364363.0,0,0,0
ADFFOODS,12630.0,6461.0,1372.0,51513.0,0,0,0
ADL,2606.0,2606.0,28.0,11644.0,0,0,0
ADORWELD,7840.0,4733.0,612.0,24820.0,0,0,0
ADROITINFO,4108.0,4108.0,26.0,14775.0,0,0,0
ADSL,199379.0,118033.0,2842.0,187072.0,0,0,0
ADVANIHOTR,49210.0,19872.0,727.0,926445.0,0,0,0
ADVENZYMES,90473.0,51425.0,3863.0,673744.0,0,0,0
AEGISCHEM,542216.0,233091.0,11587.0,2082131.0,0,0,0
AFFLE,445150.0,179498.0,36948.0,355698.0,0,0,0
AGARIND,66203.0,28301.0,4592.0,95922.0,0,0,0
AGRITECH,8201.0,4954.0,209.0,99862.0,0,0,0
AGROPHOS,64871.0,38381.0,441.0,124493.0,0,0,0
AGSTRA,1340176.0,574219.0,15838.0,1216398.0,0,0,0
