Stock,vol_norm_mean,del_norm_mean,trd_norm_mean,max_dQty,2time_20day,3time_20day,2time_3day
20MICRONS,94131.0,44704.0,1829.0,106388.0,0,0,0
21STCENMGM,4105.0,2916.0,50.0,6401.0,0,0,0
3IINFOLTD,265636.0,167823.0,3374.0,318715.0,0,0,0
3MINDIA,3731.0,1864.0,1526.0,53144.0,0,0,0
3PLAND,3309.0,3189.0,30.0,18698.0,0,0,0
5PAISA,12133.0,7007.0,582.0,45041.0,0,0,0
63MOONS,43609.0,25452.0,1245.0,109918.0,0,0,0
A2ZINFRA,227028.0,159140.0,463.0,417733.0,0,0,0
AAATECH,6857.0,5142.0,2.0,234000.0,0,0,0
AAKASH,502814.0,276323.0,835.0,521599.0,0,0,0
AAREYDRUGS,21887.0,11874.0,325.0,81238.0,0,0,0
AARON,3218.0,1578.0,138.0,28321.0,0,0,0
AARTIDRUGS,43854.0,18615.0,3314.0,58715.0,0,0,0
AARTIIND,745235.0,318558.0,25700.0,529659.0,0,0,0
AARTISURF,3959.0,2404.0,623.0,13341.0,0,0,0
AARVEEDEN,7323.0,4890.0,100.0,16948.0,0,0,0
AARVI,5585.0,3805.0,109.0,19211.0,0,0,0
AAVAS,67964.0,33434.0,9912.0,107206.0,0,0,0
ABAN,168009.0,57551.0,2601.0,207647.0,0,0,0
ABB,144459.0,50137.0,16245.0,263149.0,0,0,0
ABBOTINDIA,12818.0,4041.0,4955.0,13587.0,0,0,0
ABCAPITAL,2039740.0,550399.0,11659.0,1026445.0,0,0,0
ABCOTS,12640.0,8833.0,3.0,24000.0,0,0,0
ABFRL,1543118.0,565207.0,18029.0,1533385.0,0,0,0
ABMINTLLTD,149.0,149.0,6.0,588.0,0,0,0
ABSLAMC,49975.0,28408.0,2919.0,314087.0,0,0,0
ABSLBANETF,2183.0,1452.0,119.0,7839.0,0,0,0
ABSLNN50ET,2024.0,1592.0,53.0,5941.0,0,0,0
ACC,277989.0,114687.0,15769.0,297103.0,0,0,0
ACCELYA,5165.0,3291.0,593.0,7811.0,0,0,0
ACCORD,3250.0,2571.0,1.0,4000.0,0,0,0
ACCURACY,55346.0,17060.0,2332.0,68831.0,0,0,0
ACE,201752.0,75097.0,5067.0,319560.0,0,0,0
ACEINTEG,9000.0,9000.0,1.0,63000.0,0,0,0
ACRYSIL,34052.0,16500.0,2900.0,145150.0,0,0,0
ADANIENT,1543663.0,325362.0,45641.0,835095.0,0,0,0
ADANIGREEN,1619699.0,533296.0,76773.0,1740008.0,0,0,0
ADANIPORTS,3136991.0,662890.0,53849.0,1700820.0,0,0,0
ADANIPOWER,10196936.0,3805999.0,98145.0,6983657.0,0,0,0
ADANITRANS,443441.0,195163.0,24900.0,372246.0,0,0,0
ADFFOODS,5524.0,3016.0,573.0,6807.0,0,0,0
ADL,828.0,828.0,22.0,3503.0,0,0,0
ADORWELD,10236.0,7062.0,711.0,48621.0,0,0,0
ADROITINFO,8895.0,8895.0,20.0,396131.0,0,0,0
