SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,PP,R3,S3
20MICRONS,EQ,37.4,38.5,37.25,37.6,37.75,36.85,115050,4359475.25,08-Apr-21,898,INE144J01027,37.78333333,39.56666667,35.81666667
21STCENMGM,EQ,12.7,13.2,12.7,13,13.1,12.95,2366,30151.8,08-Apr-21,64,INE253B01015,12.96666667,13.73333333,12.23333333
3IINFOTECH,EQ,8,8,7.75,7.8,7.85,8,7642233,60064562.95,08-Apr-21,7083,INE748C01020,7.85,8.2,7.45
3MINDIA,EQ,27288,28250,27112.15,28019.5,27800,27149.4,4385,121353041.3,08-Apr-21,2614,INE470A01017,27793.88333,29613.46667,26199.91667
3PLAND,EQ,8.95,8.95,8.6,8.8,8.8,8.75,3974,34793.9,08-Apr-21,40,INE105C01023,8.783333333,9.316666667,8.266666667
5PAISA,EQ,294,300,283,287.95,287.8,288,61848,18104058.1,08-Apr-21,2389,INE618L01018,290.3166667,314.6333333,263.6333333
63MOONS,EQ,77,88.6,75,88.6,88.6,73.85,1297800,110233377.4,08-Apr-21,12294,INE111B01023,84.06666667,106.7333333,65.93333333
68GS2060,GS,101.95,101.95,101.95,101.95,101.95,107.3,470,47916.5,08-Apr-21,2,IN0020200187,101.95,101.95,101.95
A2ZINFRA,EQ,3.8,4.4,3.8,4.1,4.05,3.7,4215877,18030430.7,08-Apr-21,1965,INE619I01012,4.1,5,3.2
AAATECH,SM,42.9,42.9,42.65,42.65,42.65,42.5,6000,256650,08-Apr-21,2,INE0D0U01013,42.73333333,43.06666667,42.31666667
AAKASH,BE,134,134.25,133,134.25,134.25,133.65,5065,676986.1,08-Apr-21,72,INE087Z01016,133.8333333,135.9166667,132.1666667
AARON,EQ,56.95,57.5,56.1,56.3,56.3,56.9,483,27409.1,08-Apr-21,26,INE721Z01010,56.63333333,58.56666667,54.36666667
AARTIDRUGS,EQ,704,720.9,701.85,712.3,713,700.3,529594,376714537,08-Apr-21,19083,INE767A01016,711.6833333,740.5666667,683.4166667
AARTIIND,EQ,1420,1450,1408.65,1421.5,1419,1404.45,659066,938738960.2,08-Apr-21,27898,INE769A01020,1426.716667,1486.133333,1362.083333
AARTISURF,EQ,1250,1358,1191.45,1358,1358,1131.7,152023,198358271.3,08-Apr-21,7663,INE09EO01013,1302.483333,1580.066667,1080.416667
AARVEEDEN,EQ,17.7,19.7,17,18.6,18.1,17.5,33296,619815.2,08-Apr-21,362,INE273D01019,18.43333333,22.56666667,14.46666667
AARVI,EQ,51,52.8,48.5,48.7,48.8,49.2,29900,1513867.1,08-Apr-21,201,INE754X01016,50,55.8,42.9
AAVAS,EQ,2375.5,2435,2363.05,2389.55,2381.2,2363.05,16888,40579511.05,08-Apr-21,3745,INE216P01012,2395.866667,2500.633333,2284.783333
ABAN,EQ,34.5,34.5,31.55,32.25,32.3,32.9,234873,7721274.55,08-Apr-21,1352,INE421A01028,32.76666667,36.93333333,28.08333333
ABB,EQ,1377.85,1405.5,1375.2,1396.3,1397.95,1375,47375,66012486.7,08-Apr-21,4660,INE117A01022,1392.333333,1439.766667,1348.866667
ABBOTINDIA,EQ,15339,15400,14712.5,14963.35,14930,15314.55,18239,278015996.7,08-Apr-21,3640,INE358A01014,15025.28333,16025.56667,13963.06667
ABCAPITAL,EQ,129,130.8,125.55,127.8,127.3,127.65,4031328,518805561,08-Apr-21,31037,INE674K01013,128.05,135.8,120.05
ABFRL,EQ,193,194.4,188.5,189.7,188.8,191.6,2521870,481390579,08-Apr-21,29821,INE647O01011,190.8666667,199.1333333,181.4333333
ABFRLPP1,E1,158,160,155.25,156.05,156,156.3,5738,903299.25,08-Apr-21,701,IN9647O01027,157.1,163.7,149.45
ABINFRA,SM,6.35,6.35,6.35,6.35,6.35,6.6,4000,25400,08-Apr-21,1,INE00YB01017,6.35,6.35,6.35
ABMINTLTD,EQ,50.95,53.4,48.45,50.95,53.4,50.9,2505,128932.2,08-Apr-21,51,INE251C01017,50.93333333,58.36666667,43.51666667
ABSLBANETF,EQ,329.72,331.65,325.3,326.27,327.2,331.07,101,33183.14,08-Apr-21,32,INF209KB1O58,327.74,336.53,317.48
ABSLNN50ET,EQ,368.78,368.78,342.5,350.05,350.05,358.04,412,145357.09,08-Apr-21,54,INF209KB1B87,353.7766667,391.3333333,312.4933333
ABSLRIF6RG,MF,8.57,8.61,8.57,8.61,8.61,8.5,2231,19183.41,08-Apr-21,5,INF209KB1LL4,8.596666667,8.663333333,8.543333333
ACC,EQ,1925,2010,1924,1981.65,2005,1918.45,948277,1851773521,08-Apr-21,34728,INE012A01025,1971.883333,2105.766667,1847.766667
ACCELYA,EQ,900,942,900,914.75,920,887.1,7565,6978088.1,08-Apr-21,988,INE793A01012,918.9166667,979.8333333,853.8333333
ACCURACY,EQ,59.05,59.05,52.55,56.5,57.95,53.8,1611,88199.8,08-Apr-21,58,INE648Z01015,56.03333333,66.01666667,46.51666667
ACE,EQ,160.8,163.9,157,158.7,160,160,281985,45555223.25,08-Apr-21,4713,INE731H01025,159.8666667,169.6333333,148.9333333
ACRYSIL,EQ,390,393.55,356.95,361.05,362,374.15,280994,104729756.6,08-Apr-21,14381,INE482D01024,370.5166667,420.6833333,310.8833333
ADANIENT,EQ,1162.5,1191,1137.75,1162.5,1159.95,1165.55,12404773,14492274684,08-Apr-21,255744,INE423A01024,1163.75,1243,1083.25
ADANIGREEN,EQ,1177,1196.15,1160,1165.5,1160.95,1196.2,462142,541801425,08-Apr-21,27711,INE364U01010,1173.883333,1223.916667,1115.466667
ADANIPORTS,EQ,818,838,806,823,824,814.75,34025873,28004882484,08-Apr-21,403689,INE742F01042,822.3333333,870.6666667,774.6666667
ADANIPOWER,EQ,100.6,102,96.8,97.4,97.2,99.95,19905893,1968952684,08-Apr-21,98972,INE814H01011,98.73333333,105.8666667,90.26666667
ADANITRANS,EQ,1063,1075,1002.4,1002.4,1002.4,1055.15,735982,741799029.3,08-Apr-21,23774,INE931S01010,1026.6,1123.4,905.6
ADFFOODS,EQ,950,975,939,946.9,942.05,949.8,30203,28951383.5,08-Apr-21,3150,INE982B01019,953.6333333,1004.266667,896.2666667
ADHUNIKIND,EQ,21.5,22.8,21,21.9,21.35,21.05,91046,2003297.05,08-Apr-21,518,INE452L01012,21.9,24.6,19.2
ADL,BE,28.1,30.8,28.05,29.05,29,29.45,1707,48810.45,08-Apr-21,16,INE0CHO01012,29.3,33.3,25.05
ADORWELD,EQ,325,328.5,321,323.45,325,320.15,24057,7799821.2,08-Apr-21,822,INE045A01017,324.3166667,335.1333333,312.6333333
ADROITINFO,BE,8.25,9.05,8.25,9.05,9.05,8.65,1479,12760.4,08-Apr-21,11,INE737B01033,8.783333333,10.11666667,7.716666667
ADSL,EQ,47.95,51.85,47.5,51.85,51.85,47.15,268165,13515524.8,08-Apr-21,1272,INE102I01027,50.4,57.65,44.6
ADVANIHOTR,EQ,58.7,58.7,55.85,56.2,56,57.65,8992,509017.35,08-Apr-21,151,INE199C01026,56.91666667,60.83333333,52.28333333
ADVENZYMES,EQ,384,388.9,373,375.25,374.3,382.1,288022,109854058.7,08-Apr-21,8715,INE837H01020,379.05,401,353.3
AEGISCHEM,EQ,292,294.7,287.15,291.4,290,291.9,418077,121475797.4,08-Apr-21,7618,INE208C01025,291.0833333,302.5666667,279.9166667
AFFLE,EQ,5750,5788.6,5555.6,5581.75,5588,5685.8,72075,407946242.3,08-Apr-21,16368,INE00WC01019,5641.983333,5961.366667,5262.366667
AFLPP,E1,74.6,76.2,73.25,74.8,74.75,74.6,17603,1315128.75,08-Apr-21,164,IN9955V01011,74.75,79.2,70.35
AGARIND,BE,153.6,159.15,153.6,157.55,157.95,156,7761,1222155.2,08-Apr-21,67,INE204E01012,156.7666667,165.4833333,148.8333333
AGCNET,EQ,1622.75,1622.75,1581.1,1622.75,1622.75,1545.5,25162,40754727.5,08-Apr-21,700,INE676A01019,1608.866667,1678.283333,1553.333333
AGRITECH,EQ,32.55,39.3,31.55,39.3,39.3,32.75,79797,3063393.75,08-Apr-21,623,INE449G01018,36.71666667,49.63333333,26.38333333
AGROPHOS,EQ,12.1,12.1,11.7,11.95,12,11.7,27746,332355.2,08-Apr-21,157,INE740V01019,11.91666667,12.53333333,11.33333333
AHLADA,EQ,105.05,107.2,104.05,105,107.15,100.95,4167,437269.5,08-Apr-21,77,INE00PV01013,105.4166667,109.9333333,100.4833333
AHLEAST,EQ,158.5,162,157.4,158.85,158.95,160,1385,219306.45,08-Apr-21,59,INE926K01017,159.4166667,166.0333333,152.2333333
AHLUCONT,EQ,297.6,297.7,292,294.3,295,294.45,4713,1386986.55,08-Apr-21,253,INE758C01029,294.6666667,303.0333333,285.9333333
AHLWEST,EQ,218.95,230,208.5,209.85,210.5,222.9,10902,2331685.3,08-Apr-21,1670,INE915K01010,216.1166667,245.2333333,180.7333333
