Symbol,MarketCap,companyName,pdSectorInd,totalMarketCap,issued_shares,surveillance,Industry,basicIndustry,macro,Sector,Date_Updated,ISIN,script_code,Series,token
20MICRONS,VSM,20 Microns Limited,NIFTY METAL,25106.35,35286502,-,Minerals & Mining,Industrial Minerals,Commodities,Metals & Mining,14-07-2022,INE144J01027,533022,,16921.0
ACCORD,VSM,Accord Synergy Limited,NA,0.0,-,-,Telecom - Services,Other Telecom Services,Telecommunication,Telecommunication,14-07-2022,INE113X01015,,,21217.0
21STCENMGM,VSM,21st Century Management Services Limited,NIFTY FINANCIAL SERVICES,2672.25,10500000,-,Capital Markets,Other Capital Market related Services,Financial Services,Financial Services,14-07-2022,INE253B01015,526921,,4.0
ABFRL,Mid,Aditya Birla Fashion and Retail Limited,NIFTY 500,2402061.21,938305160,-,Retailing,Speciality Retail,Consumer Discretionary,Consumer Services,14-07-2022,INE647O01011,535755,,30108.0
ABB,LARGE,ABB India Limited,NIFTY INFRASTRUCTURE,5388618.07,211908375,-,Electrical Equipment,Heavy Electrical Equipment,Industrials,Capital Goods,14-07-2022,INE117A01022,500002,,13.0
3IINFOLTD,VSM,3i Infotech Limited,NA,73247.06,168384037,-,IT - Software,Computers - Software & Consulting,Information Technology,Information Technology,14-07-2022,INE748C01038,532628,,6232.0
3PLAND,VSM,3P Land Holdings Limited,NIFTY 500,2754.0,18000000,-,Finance,Investment Company,Financial Services,Financial Services,14-07-2022,INE105C01023,516092,,2595.0
AARVI,VSM,Aarvi Encon Limited,NA,13098.62,14784000,-,Commercial Services & Supplies,Diversified Commercial Services,Services,Services,14-07-2022,INE754X01016,,,19073.0
3MINDIA,Mid,3M India Limited,NIFTY 500,2562803.43,11265070,-,Diversified,Diversified,Diversified,Diversified,14-07-2022,INE470A01017,523395,,474.0
ABSLNN50ET,VSM,Aditya Birla Sun Life Nifty Next 50 ETF,NA,10288.37,25915290,-,,,,,14-07-2022,INF209KB16D7,542230,,7339.0
AARVEEDEN,VSM,Aarvee Denims & Exports Limited,NIFTY 500,4199.3,23459800,LT-ASM-Stage I,Textiles & Apparels,Other Textile Products,Consumer Discretionary,Textiles,14-07-2022,INE273D01019,514274,,13771.0
